Devices
1000
		PedaleDroite - Force			PedaleDroite - Moment			PedaleDroite - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9345	1	22.5637	75.3934	-431.273	2754.49	204.085	-2212.71	0.473216	-6.38688	0
9345	2	18.0699	77.9901	-432.781	2684.48	107.339	-2280.01	0.248022	-6.20286	0
9345	3	17.5098	76.4764	-429.753	2832.91	153.145	-2389.08	0.356356	-6.59197	0
9346	0	18.2878	76.939	-426.129	2777.21	138.477	-2436.91	0.324964	-6.5173	0
9346	1	17.6773	75.2599	-422.586	2800.94	126.586	-2311.37	0.299551	-6.6281	0
9346	2	14.361	75.8473	-421.404	2741.87	99.5781	-2288.95	0.236301	-6.50652	0
9346	3	15.0509	75.6483	-422.286	2674.14	111.172	-2299.88	0.263263	-6.33254	0
9347	0	12.9392	74.6144	-420.261	2605.64	81.0692	-2319.28	0.192902	-6.20005	0
9347	1	10.22	72.9525	-420.234	2647.13	74.1555	-2188.88	0.176462	-6.29919	0
9347	2	9.69731	70.6468	-420.83	2553.1	135.374	-2159.99	0.321684	-6.06682	0
9347	3	10.2969	70.3748	-421.645	2551.55	101.97	-2196.19	0.241838	-6.05141	0
9348	0	8.77737	71.6391	-423.308	2441.83	121.68	-2182.05	0.287449	-5.76846	0
9348	1	6.84715	71.0395	-427.413	2419.52	149.966	-2190.26	0.350869	-5.66084	0
9348	2	3.08043	71.0416	-424.449	2380.99	76.4774	-2235.42	0.180181	-5.6096	0
9348	3	7.27926	70.459	-426.227	2586.03	120.923	-2237.05	0.283706	-6.06725	0
9349	0	6.70461	72.5866	-425.065	2500.72	155.688	-2231.72	0.366268	-5.88315	0
9349	1	6.72395	73.25	-422.918	2384.65	126.224	-2216.08	0.29846	-5.63857	0
9349	2	1.6384	70.3449	-423.132	2393.76	117.834	-2294.25	0.27848	-5.65724	0
9349	3	2.17692	70.4408	-425.816	2424.27	192.405	-2191.82	0.45185	-5.69323	0
9350	0	1.52586	72.0858	-427.851	2411.63	161.678	-2238.85	0.377883	-5.63662	0
9350	1	2.18081	71.2094	-426.097	2312.84	218.653	-2111.11	0.513153	-5.42797	0
9350	2	-2.06009	70.6961	-426.468	2303.42	198.935	-2041.62	0.466471	-5.40115	0
9350	3	-4.73477	69.0798	-425.461	2208.41	170.262	-2030.19	0.400183	-5.19062	0
9351	0	0.00264264	63.6757	-423.904	2319.57	326.98	-1914.74	0.771353	-5.47192	0
9351	1	-2.91464	68.5957	-428.587	2208.61	229.057	-1953.41	0.534447	-5.15324	0
9351	2	-1.10603	69.0198	-429.053	2266.68	237.158	-2016.48	0.552747	-5.28297	0
9351	3	-6.2966	69.1996	-422.579	2160.29	68.159	-2176.31	0.161293	-5.11216	0
9352	0	-4.22133	66.2614	-425.905	2240.82	144.812	-2049.98	0.340011	-5.26132	0
9352	1	-4.40249	64.8268	-420.041	2206.63	209.881	-1986.77	0.499668	-5.25336	0
9352	2	-5.5533	64.4975	-422.168	2119	149.441	-1975.14	0.353985	-5.01932	0
9352	3	-7.69487	64.9398	-421.94	2049.63	98.9731	-1923.62	0.234567	-4.85764	0
9353	0	-9.95712	65.4078	-422.782	1984.45	88.517	-1863.98	0.209368	-4.69379	0
9353	1	-14.3552	67.3642	-427.355	1872.84	27.5253	-1914.84	0.0644086	-4.38239	0
