Devices
1000
		PedaleGauche - Force			PedaleGauche - Moment			PedaleGauche - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9342	2	-31.2476	11.1246	-8.05547	-163.27	-630.614	899.387	-78.2839	20.2682	0
9342	3	-34.2067	8.84389	-10.6625	-31.9817	-585.759	833.597	-54.9364	2.99945	0
9343	0	-31.0571	11.15	-5.85858	-117.583	-605.034	917.158	-103.273	20.0702	0
9343	1	-33.6488	11.5619	-2.56186	-86.0538	-637.281	960.583	-248.757	33.5903	0
9343	2	-32.0392	12.0038	-3.19995	-116.889	-639.517	978.714	-199.852	36.5283	0
9343	3	-33.5588	10.9024	-1.66625	-95.3977	-664.353	948.82	-398.711	57.2528	0
9344	0	-31.9337	13.0202	-2.49394	-137.131	-648.018	948.795	-259.837	54.9858	0
9344	1	-31.6248	10.2052	-4.43647	-54.0274	-638.111	945.22	-143.833	12.178	0
9344	2	-33.3544	10.6129	-1.23389	-52.4165	-594.64	879.081	-481.922	42.4806	0
9344	3	-30.7943	11.5721	-3.2989	-112.195	-608.568	916.58	-184.476	34.0099	0
9345	0	-32.8835	8.85702	-6.8617	-83.5146	-652.205	893.984	-95.0501	12.1711	0
9345	1	-31.6844	12.1882	-1.55986	-126.635	-618.196	940.473	-396.315	81.1836	0
9345	2	-34.9382	9.93895	0.790634	6.13317	-721.911	961.882	0	0	0
9345	3	-30.6882	11.8091	0.752983	-73.7217	-610.364	955.953	0	0	0
9346	0	-33.227	10.5728	-0.480408	-26.3197	-718.345	1028.33	0	0	0
9346	1	-30.5465	14.7776	4.25203	-164.336	-782.72	1010.28	184.081	-38.6487	0
9346	2	-32.3265	10.2149	-0.177824	-34.803	-703.329	939.294	0	0	0
9346	3	-28.4472	14.3025	5.00234	-194.032	-687.796	994.227	137.495	-38.7882	0
9347	0	-30.871	12.2926	3.44903	-136.388	-675.212	930.876	195.768	-39.5439	0
9347	1	-29.0136	15.1241	12.0695	-102.516	-614.964	930.169	50.9518	-8.49377	0
9347	2	-29.6129	11.6855	1.35819	-128.462	-633.687	895.58	466.566	-94.5831	0
9347	3	-26.7193	13.0275	1.54124	-176.526	-563.533	872.293	365.636	-114.535	0
9348	0	-27.8357	9.64042	4.5415	-166.546	-545.961	971.692	120.216	-36.6721	0
9348	1	-25.7	12.5591	-3.33427	-202.952	-552.329	901.102	-165.652	60.8685	0
9348	2	-32.1942	8.5946	-2.91942	-31.9843	-621.302	791.177	-212.817	10.9557	0
9348	3	-28.8308	11.245	0.591642	-162.62	-669.073	882.468	0	0	0
